Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2019,Colorado,Mike MacIntyre,Pac12,"2,878,500.00",2018,5,7,42,"Boulder, Colorado",53613,63
2017,Colorado,Mike MacIntyre,Pac12,"2,011,050.00",2016,10,4,71,"Boulder, Colorado",53613,63
2015,Colorado State,Jim McElwain,MtWest,"1,500,000.00",2014,10,3,77,"Fort Collins, Colorado",41200,63
2019,Colorado State,Mike Bobo,MtWest,"1,800,000.00",2018,4,8,33,"Fort Collins, Colorado",41200,61
2016,Colorado State,Mike Bobo,MtWest,"1,350,000.00",2015,7,6,54,"Fort Collins, Colorado",41200,61
2017,Colorado State,Mike Bobo,MtWest,"1,450,000.00",2016,7,6,54,"Fort Collins, Colorado",41200,61
2018,Colorado State,Mike Bobo,MtWest,"1,550,000.00",2017,7,6,54,"Fort Collins, Colorado",41200,61
2020,Colorado State,Steve Addazio,MtWest,"1,500,000.00",2019,1,3,25,"Fort Collins, Colorado",41200,61
2015,Connecticut,Bob Diaco,AAC,"1,500,000.00",2014,2,10,17,"Storrs, Connecticut",40000,68
2017,Connecticut,Bob Diaco,AAC,"1,700,000.00",2016,3,9,25,"Storrs, Connecticut",40000,68
2016,Connecticut,Bob Diaco,AAC,"1,550,000.00",2015,6,7,46,"Storrs, Connecticut",40000,68
2019,Connecticut,Randy Edsall,AAC,"1,100,000.00",2018,2,10,17,"Storrs, Connecticut",40000,68
2018,Connecticut,Randy Edsall,AAC,"1,000,000.00",2017,3,9,25,"Storrs, Connecticut",40000,68
2020,Connecticut,Randy Edsall,Indep,"1,256,000.00",2019,0,0,0,"Storrs, Connecticut",40000,68
2020,Duke,David Cutcliffe,ACC,"2,540,928.00",2019,2,9,18,"Durham, North Carolina",33941,89
2017,Duke,David Cutcliffe,ACC,"2,540,928.00",2016,4,8,33,"Durham, North Carolina",33941,89
2019,Duke,David Cutcliffe,ACC,"2,540,928.00",2018,5,7,42,"Durham, North Carolina",33941,89
2018,Duke,David Cutcliffe,ACC,"2,613,638.00",2017,7,6,54,"Durham, North Carolina",33941,89
2016,Duke,David Cutcliffe,ACC,"2,049,055.00",2015,8,5,62,"Durham, North Carolina",33941,89
2015,Duke,David Cutcliffe,ACC,"1,840,341.00",2014,9,4,69,"Durham, North Carolina",33941,89
2020,East Carolina,Mike Houston,AAC,"1,505,000.00",2019,3,6,33,"Greenville, North Carolina",50000,67
2016,East Carolina,Ruffin McNeill,AAC,"1,414,610.00",2015,5,7,42,"Greenville, North Carolina",50000,67
2015,East Carolina,Ruffin McNeill,AAC,"1,250,000.00",2014,8,5,62,"Greenville, North Carolina",50000,67
2017,East Carolina,Scottie Montgomery,AAC,"1,102,500.00",2016,3,9,25,"Greenville, North Carolina",50000,67
2018,East Carolina,Scottie Montgomery,AAC,"1,050,000.00",2017,3,9,25,"Greenville, North Carolina",50000,67
2019,East Carolina,Scottie Montgomery,AAC,"1,102,500.00",2018,4,8,33,"Greenville, North Carolina",50000,67
2016,Eastern Michigan,Chris Creighton,MAC,"425,000.00",2015,1,11,8,"Ypsilanti, Michigan",30200,42
2015,Eastern Michigan,Chris Creighton,MAC,"425,000.00",2014,2,10,17,"Ypsilanti, Michigan",30200,42
2020,Eastern Michigan,Chris Creighton,MAC,"480,000.00",2019,2,4,33,"Ypsilanti, Michigan",30200,42
2018,Eastern Michigan,Chris Creighton,MAC,"442,420.00",2017,5,7,42,"Ypsilanti, Michigan",30200,42
2019,Eastern Michigan,Chris Creighton,MAC,"460,000.00",2018,6,7,46,"Ypsilanti, Michigan",30200,42
2017,Eastern Michigan,Chris Creighton,MAC,"434,840.00",2016,7,6,54,"Ypsilanti, Michigan",30200,42
2020,Florida,Dan Mullen,SEC,"6,070,000.00",2019,8,4,67,"Gainesville, Florida",88548,42
2019,Florida,Dan Mullen,SEC,"6,070,000.00",2018,11,2,85,"Gainesville, Florida",88548,42
2018,Florida,Jim McElwain,SEC,"4,457,400.00",2017,4,7,36,"Gainesville, Florida",88548,42
2017,Florida,Jim McElwain,SEC,"4,268,325.00",2016,9,4,69,"Gainesville, Florida",88548,42
2016,Florida,Jim McElwain,SEC,"3,983,359.00",2015,10,4,71,"Gainesville, Florida",88548,42
2015,Florida,Will Muschamp,SEC,"2,724,500.00",2014,7,5,58,"Gainesville, Florida",88548,42
2015,Florida Atlantic,Charlie Partridge,CUSA,"500,000.00",2014,3,9,25,"Boca Raton, Florida",20450,58
2016,Florida Atlantic,Charlie Partridge,CUSA,"525,000.00",2015,3,9,25,"Boca Raton, Florida",20450,58
2017,Florida Atlantic,Charlie Partridge,CUSA,"591,250.00",2016,3,9,25,"Boca Raton, Florida",20450,58
