Year,School,Coach,Conference,Salary,Season,Wins,Losses,WinPercentage,Location,Capacity,GSR
2018,Ohio State,Urban Meyer,BigTen,"6,431,240.00",2017,12,2,86,"Columbus, Ohio",104944,44
2016,Ohio State,Urban Meyer,BigTen,"5,860,000.00",2015,12,1,92,"Columbus, Ohio",104944,44
2015,Ohio State,Urban Meyer,BigTen,"4,486,640.00",2014,14,1,93,"Columbus, Ohio",104944,44
2019,Ohio State,Urban Meyer,BigTen,"7,600,000.00",2018,13,1,93,"Columbus, Ohio",104944,44
2015,Oklahoma,Bob Stoops,Big12,"5,058,333.00",2014,8,5,62,"Norman, Oklahoma",82112,59
2016,Oklahoma,Bob Stoops,Big12,"5,400,000.00",2015,11,2,85,"Norman, Oklahoma",82112,59
2017,Oklahoma,Bob Stoops,Big12,"5,550,000.00",2016,11,2,85,"Norman, Oklahoma",82112,59
2020,Oklahoma,Lincoln Riley,Big12,"6,507,143.00",2019,9,2,82,"Norman, Oklahoma",82112,59
2018,Oklahoma,Lincoln Riley,Big12,"2,116,666.00",2017,12,2,86,"Norman, Oklahoma",82112,59
2019,Oklahoma,Lincoln Riley,Big12,"4,800,000.00",2018,12,2,86,"Norman, Oklahoma",82112,59
2015,Oklahoma State,Mike Gundy,Big12,"3,500,000.00",2014,7,6,54,"Stillwater, Oklahoma",60218,36
2019,Oklahoma State,Mike Gundy,Big12,"5,000,000.00",2018,8,5,62,"Stillwater, Oklahoma",60218,36
2020,Oklahoma State,Mike Gundy,Big12,"4,250,000.00",2019,8,3,73,"Stillwater, Oklahoma",60218,36
2016,Oklahoma State,Mike Gundy,Big12,"3,650,000.00",2015,10,3,77,"Stillwater, Oklahoma",60218,36
2017,Oklahoma State,Mike Gundy,Big12,"3,775,000.00",2016,10,3,77,"Stillwater, Oklahoma",60218,36
2018,Oklahoma State,Mike Gundy,Big12,"4,200,000.00",2017,10,3,77,"Stillwater, Oklahoma",60218,36
2019,Old Dominion,Bobby Wilder,CUSA,"654,667.00",2018,1,11,8,"Norfolk, Virginia",19818,49
2016,Old Dominion,Bobby Wilder,CUSA,"550,000.00",2015,5,7,42,"Norfolk, Virginia",19818,49
2018,Old Dominion,Bobby Wilder,CUSA,"650,000.00",2017,5,7,42,"Norfolk, Virginia",19818,49
2015,Old Dominion,Bobby Wilder,CUSA,"475,000.00",2014,6,6,50,"Norfolk, Virginia",19818,49
2017,Old Dominion,Bobby Wilder,CUSA,"554,590.00",2016,10,3,77,"Norfolk, Virginia",19818,49
2020,Old Dominion,Ricky Rahne,CUSA,"775,000.00",2019,0,0,0,"Norfolk, Virginia",19818,49
2020,Oregon,Mario Cristobal,Pac12,"2,700,000.00",2019,4,3,57,"Eugene, Oregon",53800,63
2019,Oregon,Mario Cristobal,Pac12,"2,500,000.00",2018,12,2,86,"Eugene, Oregon",53800,63
2017,Oregon,Mark Helfrich,Pac12,"3,300,000.00",2016,4,8,33,"Eugene, Oregon",53800,63
2016,Oregon,Mark Helfrich,Pac12,"3,150,000.00",2015,9,4,69,"Eugene, Oregon",53800,63
2015,Oregon,Mark Helfrich,Pac12,"2,000,000.00",2014,13,2,87,"Eugene, Oregon",53800,63
2018,Oregon,Willie Taggart,Pac12,"2,900,000.00",2017,7,6,54,"Eugene, Oregon",53800,63
2018,Oregon State,Gary Andersen,Pac12,"2,650,000.00",2017,1,11,8,"Corvallis, Oregon",46200,47
2016,Oregon State,Gary Andersen,Pac12,"2,450,000.00",2015,2,10,17,"Corvallis, Oregon",46200,47
2017,Oregon State,Gary Andersen,Pac12,"2,550,000.00",2016,4,8,33,"Corvallis, Oregon",46200,47
2020,Oregon State,Jonathan Smith,Pac12,"2,400,000.00",2019,2,5,29,"Corvallis, Oregon",46200,47
2019,Oregon State,Jonathan Smith,Pac12,"1,900,008.00",2018,5,7,42,"Corvallis, Oregon",46200,47
2015,Oregon State,Mike Riley,Pac12,"1,510,008.00",2014,5,7,42,"Corvallis, Oregon",46200,47
2020,Penn State,James Franklin,BigTen,"6,700,000.00",2019,4,5,44,"University Park, Pennsylvania",107282,66
2015,Penn State,James Franklin,BigTen,"4,300,000.00",2014,7,6,54,"University Park, Pennsylvania",107282,66
2016,Penn State,James Franklin,BigTen,"4,400,000.00",2015,7,6,54,"University Park, Pennsylvania",107282,66
2017,Penn State,James Franklin,BigTen,"4,500,000.00",2016,11,3,79,"University Park, Pennsylvania",107282,66
2018,Penn State,James Franklin,BigTen,"4,600,000.00",2017,11,2,85,"University Park, Pennsylvania",107282,66
2019,Penn State,James Franklin,BigTen,"4,800,000.00",2018,11,2,85,"University Park, Pennsylvania",107282,66
2018,Pittsburgh,Pat Narduzzi,ACC,"1,827,735.00",2017,5,7,42,"Pittsburgh, Pennsylvania",65050,49
2020,Pittsburgh,Pat Narduzzi,ACC,"3,200,000.00",2019,6,5,55,"Pittsburgh, Pennsylvania",65050,49
2016,Pittsburgh,Pat Narduzzi,ACC,"1,827,735.00",2015,8,5,62,"Pittsburgh, Pennsylvania",65050,49
2017,Pittsburgh,Pat Narduzzi,ACC,"1,827,735.00",2016,8,5,62,"Pittsburgh, Pennsylvania",65050,49
2019,Pittsburgh,Pat Narduzzi,ACC,"3,017,718.00",2018,8,5,62,"Pittsburgh, Pennsylvania",65050,49
2015,Pittsburgh,Paul Chryst,ACC,"1,578,757.00",2014,6,7,46,"Pittsburgh, Pennsylvania",65050,49
2016,Purdue,Darrell Hazell,BigTen,"2,140,000.00",2015,2,10,17,"West Lafayette, Indiana",62500,64
2015,Purdue,Darrell Hazell,BigTen,"2,090,000.00",2014,3,9,25,"West Lafayette, Indiana",62500,64
2017,Purdue,Darrell Hazell,BigTen,"2,190,000.00",2016,3,9,25,"West Lafayette, Indiana",62500,64
2019,Purdue,Jeff Brohm,BigTen,"3,800,000.00",2018,4,8,33,"West Lafayette, Indiana",62500,64
2020,Purdue,Jeff Brohm,BigTen,"4,800,000.00",2019,2,4,33,"West Lafayette, Indiana",62500,64
2018,Purdue,Jeff Brohm,BigTen,"3,333,333.00",2017,7,6,54,"West Lafayette, Indiana",62500,64
2018,Rice,David Bailiff,CUSA,"772,883.00",2017,1,11,8,"Houston, Texas",70000,77
2017,Rice,David Bailiff,CUSA,"903,556.00",2016,3,9,25,"Houston, Texas",70000,77
2016,Rice,David Bailiff,CUSA,"805,088.00",2015,5,7,42,"Houston, Texas",70000,77
2015,Rice,David Bailiff,CUSA,"780,243.00",2014,8,5,62,"Houston, Texas",70000,77
2019,Rice,Mike Bloomgren,CUSA,"1,000,000.00",2018,3,9,25,"Houston, Texas",70000,77
2020,Rice,Mike Bloomgren,CUSA,"1,500,000.00",2019,2,3,40,"Houston, Texas",70000,77
2017,Rutgers,Chris Ash,BigTen,"2,000,000.00",2016,2,10,17,"Piscataway, New Jersey",52454,55
2019,Rutgers,Chris Ash,BigTen,"2,200,000.00",2018,2,10,17,"Piscataway, New Jersey",52454,55
2018,Rutgers,Chris Ash,BigTen,"2,100,000.00",2017,4,8,33,"Piscataway, New Jersey",52454,55
2020,Rutgers,Greg Schiano,BigTen,"4,030,000.00",2019,3,6,33,"Piscataway, New Jersey",52454,55
2016,Rutgers,Kyle Flood,BigTen,"1,250,000.00",2015,4,8,33,"Piscataway, New Jersey",52454,55
2015,Rutgers,Kyle Flood,BigTen,"975,000.00",2014,8,5,62,"Piscataway, New Jersey",52454,55
2020,San Diego State,Brady Hoke,MtWest,"1,000,000.00",2019,4,4,50,"San Diego, California",70561,70
2015,San Diego State,Rocky Long,MtWest,"800,000.00",2014,7,6,54,"San Diego, California",70561,70
2018,San Diego State,Rocky Long,MtWest,"826,304.00",2017,10,3,77,"San Diego, California",70561,70
2019,San Diego State,Rocky Long,MtWest,"872,576.00",2018,10,3,77,"San Diego, California",70561,70
2016,San Diego State,Rocky Long,MtWest,"806,300.00",2015,11,3,79,"San Diego, California",70561,70
2017,San Diego State,Rocky Long,MtWest,"810,632.00",2016,11,3,79,"San Diego, California",70561,70
2018,San Jose State,Brent Brennan,MtWest,"581,916.00",2017,2,11,15,"San Jose, California",30456,74
2019,San Jose State,Brent Brennan,MtWest,"590,424.00",2018,5,7,42,"San Jose, California",30456,74
2020,San Jose State,Brent Brennan,MtWest,"850,000.00",2019,7,1,88,"San Jose, California",30456,74
2015,San Jose State,Ron Caragher,MtWest,"525,000.00",2014,3,9,25,"San Jose, California",30456,74
2017,San Jose State,Ron Caragher,MtWest,"546,745.00",2016,4,8,33,"San Jose, California",30456,74
2016,San Jose State,Ron Caragher,MtWest,"540,745.00",2015,6,7,46,"San Jose, California",30456,74
2018,South Alabama,Joey Jones,SunBelt,"535,260.00",2017,4,8,33,"Mobile, Alabama",25450,55
2016,South Alabama,Joey Jones,SunBelt,"525,000.00",2015,5,7,42,"Mobile, Alabama",25450,55
2015,South Alabama,Joey Jones,SunBelt,"435,000.00",2014,6,7,46,"Mobile, Alabama",25450,55
2017,South Alabama,Joey Jones,SunBelt,"525,000.00",2016,6,7,46,"Mobile, Alabama",25450,55
2019,South Alabama,Steve Campbell,SunBelt,"600,000.00",2018,2,10,17,"Mobile, Alabama",25450,55
2020,South Alabama,Steve Campbell,SunBelt,"617,400.00",2019,4,7,36,"Mobile, Alabama",25450,55
2016,South Carolina,Steve Spurrier,SEC,"4,000,000.00",2015,3,9,25,"Columbia, South Carolina",80250,63
2015,South Carolina,Steve Spurrier,SEC,"4,000,000.00",2014,7,6,54,"Columbia, South Carolina",80250,63
2020,South Carolina,Will Muschamp,SEC,"4,600,000.00",2019,2,8,20,"Columbia, South Carolina",80250,63
2019,South Carolina,Will Muschamp,SEC,"4,200,000.00",2018,4,8,33,"Columbia, South Carolina",80250,63
2017,South Carolina,Will Muschamp,SEC,"3,000,000.00",2016,6,7,46,"Columbia, South Carolina",80250,63
2018,South Carolina,Will Muschamp,SEC,"3,100,000.00",2017,9,4,69,"Columbia, South Carolina",80250,63
2019,South Florida,Charlie Strong,AAC,"1,000,000.00",2018,4,8,33,"Tampa, Florida",65857,72
2018,South Florida,Charlie Strong,AAC,"1,000,000.00",2017,10,2,83,"Tampa, Florida",65857,72
2020,South Florida,Jeff Scott,AAC,"2,300,000.00",2019,1,8,11,"Tampa, Florida",65857,72
2015,South Florida,Willie Taggart,AAC,"1,150,000.00",2014,4,8,33,"Tampa, Florida",65857,72
2016,South Florida,Willie Taggart,AAC,"1,150,000.00",2015,8,5,62,"Tampa, Florida",65857,72
2017,South Florida,Willie Taggart,AAC,"1,700,000.00",2016,11,2,85,"Tampa, Florida",65857,72
2019,Southern California,Clay Helton,Pac12,"2,625,965.00",2018,8,5,62,"Los Angeles, California",93607,60
2017,Southern California,Clay Helton,Pac12,"2,600,000.00",2016,10,3,77,"Los Angeles, California",93607,60
2018,Southern California,Clay Helton,Pac12,"3,220,000.00",2017,11,3,79,"Los Angeles, California",93607,60
2020,Southern California,Clay Helton,Pac12,"4,569,507.00",2019,5,1,83,"Los Angeles, California",93607,60
2016,Southern California,Steve Sarkisian,Pac12,"3,300,000.00",2015,8,6,57,"Los Angeles, California",93607,60
2015,Southern California,Steve Sarkisian,Pac12,"3,700,000.00",2014,9,4,69,"Los Angeles, California",93607,60
2016,Southern Methodist,Chad Morris,AAC,"2,095,793.00",2015,2,10,17,"Dallas, Texas",32000,62
2017,Southern Methodist,Chad Morris,AAC,"2,095,793.00",2016,5,7,42,"Dallas, Texas",32000,62
2018,Southern Methodist,Chad Morris,AAC,"2,095,793.00",2017,7,6,54,"Dallas, Texas",32000,62
2015,Southern Methodist,June Jones,AAC,"2,019,718.00",2014,1,11,8,"Dallas, Texas",32000,62
2020,Southern Methodist,Sonny Dykes,AAC,"2,000,000.00",2019,7,3,70,"Dallas, Texas",32000,62
2019,Southern Methodist,Sonny Dykes,AAC,"2,908,000.00",2018,10,3,77,"Dallas, Texas",32000,62
2020,Southern Mississippi,Jay Hopson,CUSA,"500,000.00",2019,3,7,30,"Hattiesburg, Mississippi",36000,61
2017,Southern Mississippi,Jay Hopson,CUSA,"500,000.00",2016,7,6,54,"Hattiesburg, Mississippi",36000,61
2019,Southern Mississippi,Jay Hopson,CUSA,"500,000.00",2018,7,6,54,"Hattiesburg, Mississippi",36000,61
2018,Southern Mississippi,Jay Hopson,CUSA,"500,000.00",2017,8,5,62,"Hattiesburg, Mississippi",36000,61
2015,Southern Mississippi,Todd Monken,CUSA,"700,000.00",2014,3,9,25,"Hattiesburg, Mississippi",36000,61
2016,Southern Mississippi,Todd Monken,CUSA,"700,000.00",2015,9,5,64,"Hattiesburg, Mississippi",36000,61
2019,Stanford,David Shaw,Pac12,"4,311,543.00",2018,4,8,33,"Stanford, California",50000,88
2015,Stanford,David Shaw,Pac12,"2,012,666.00",2014,8,5,62,"Stanford, California",50000,88
2018,Stanford,David Shaw,Pac12,"5,680,441.00",2017,9,5,64,"Stanford, California",50000,88
2020,Stanford,David Shaw,Pac12,"4,613,000.00",2019,4,2,67,"Stanford, California",50000,88
2017,Stanford,David Shaw,Pac12,"4,067,219.00",2016,10,3,77,"Stanford, California",50000,88
2016,Stanford,David Shaw,Pac12,"2,224,435.00",2015,12,2,86,"Stanford, California",50000,88
2020,Syracuse,Dino Babers,ACC,"2,401,206.00",2019,1,10,9,"Syracuse, New York",49250,70
2017,Syracuse,Dino Babers,ACC,"2,200,000.00",2016,4,8,33,"Syracuse, New York",49250,70
2018,Syracuse,Dino Babers,ACC,"2,200,000.00",2017,4,8,33,"Syracuse, New York",49250,70
2019,Syracuse,Dino Babers,ACC,"2,401,206.00",2018,5,7,42,"Syracuse, New York",49250,70
2015,Syracuse,Scott Shafer,ACC,"1,300,000.00",2014,3,9,25,"Syracuse, New York",49250,70
2016,Syracuse,Scott Shafer,ACC,"1,302,721.00",2015,4,8,33,"Syracuse, New York",49250,70
2018,Temple,Geoff Collins,AAC,"2,500,000.00",2017,7,6,54,"Philadelphia, Pennsylvania",68532,65
2019,Temple,Geoff Collins,AAC,"3,000,000.00",2018,8,5,62,"Philadelphia, Pennsylvania",68532,65
2015,Temple,Matt Rhule,AAC,"500,000.00",2014,6,6,50,"Philadelphia, Pennsylvania",68532,65
2016,Temple,Matt Rhule,AAC,"648,633.00",2015,10,4,71,"Philadelphia, Pennsylvania",68532,65
2017,Temple,Matt Rhule,AAC,"1,041,739.00",2016,10,4,71,"Philadelphia, Pennsylvania",68532,65
2020,Temple,Rod Carey,AAC,"2,000,000.00",2019,1,6,14,"Philadelphia, Pennsylvania",68532,65
2018,Tennessee,Butch Jones,SEC,"4,110,000.00",2017,4,8,33,"Knoxville, Tennessee",102455,59
2015,Tennessee,Butch Jones,SEC,"2,960,000.00",2014,7,6,54,"Knoxville, Tennessee",102455,59
2016,Tennessee,Butch Jones,SEC,"3,610,000.00",2015,9,4,69,"Knoxville, Tennessee",102455,59
2017,Tennessee,Butch Jones,SEC,"4,110,000.00",2016,9,4,69,"Knoxville, Tennessee",102455,59
2020,Tennessee,Jeremy Pruitt,SEC,"3,846,000.00",2019,3,7,30,"Knoxville, Tennessee",102455,59
2019,Tennessee,Jeremy Pruitt,SEC,"3,846,000.00",2018,8,5,62,"Knoxville, Tennessee",102455,59
2016,Texas,Charlie Strong,Big12,"5,100,000.00",2015,5,7,42,"Austin, Texas",100119,67
2017,Texas,Charlie Strong,Big12,"5,200,000.00",2016,5,7,42,"Austin, Texas",100119,67
2015,Texas,Charlie Strong,Big12,"5,000,000.00",2014,6,7,46,"Austin, Texas",100119,67
2018,Texas,Tom Herman,Big12,"5,486,316.00",2017,7,6,54,"Austin, Texas",100119,67
2019,Texas,Tom Herman,Big12,"5,500,000.00",2018,8,5,62,"Austin, Texas",100119,67
2020,Texas,Tom Herman,Big12,"6,000,000.00",2019,7,3,70,"Austin, Texas",100119,67
2019,Texas A&M,Jimbo Fisher,SEC,"7,500,000.00",2018,8,5,62,"College Station, Texas",12989,60
2020,Texas A&M,Jimbo Fisher,SEC,"7,500,000.00",2019,9,1,90,"College Station, Texas",12989,60
2018,Texas A&M,Kevin Sumlin,SEC,"5,000,000.00",2017,7,6,54,"College Station, Texas",12989,60
2015,Texas A&M,Kevin Sumlin,SEC,"5,000,000.00",2014,8,5,62,"College Station, Texas",12989,60
2016,Texas A&M,Kevin Sumlin,SEC,"5,000,000.00",2015,8,5,62,"College Station, Texas",12989,60
2017,Texas A&M,Kevin Sumlin,SEC,"5,000,000.00",2016,8,5,62,"College Station, Texas",12989,60
2019,Texas Christian,Gary Patterson,Big12,"4,840,717.00",2018,5,7,42,"Fort Worth, Texas",46000,58
2017,Texas Christian,Gary Patterson,Big12,"4,014,723.00",2016,6,7,46,"Fort Worth, Texas",46000,58
2020,Texas Christian,Gary Patterson,Big12,"4,900,000.00",2019,6,4,60,"Fort Worth, Texas",46000,58
2018,Texas Christian,Gary Patterson,Big12,"5,104,077.00",2017,11,3,79,"Fort Worth, Texas",46000,58
2016,Texas Christian,Gary Patterson,Big12,"3,940,026.00",2015,11,2,85,"Fort Worth, Texas",46000,58
2015,Texas Christian,Gary Patterson,Big12,"4,008,150.00",2014,12,1,92,"Fort Worth, Texas",46000,58
2016,Texas State,Dennis Franchione,SunBelt,"425,000.00",2015,3,9,25,"San Marcos, Texas",30000,63
2015,Texas State,Dennis Franchione,SunBelt,"400,000.00",2014,7,5,58,"San Marcos, Texas",30000,63
2017,Texas State,Everett Withers,SunBelt,"650,000.00",2016,2,10,17,"San Marcos, Texas",30000,63
2018,Texas State,Everett Withers,SunBelt,"675,000.00",2017,2,10,17,"San Marcos, Texas",30000,63
2019,Texas State,Everett Withers,SunBelt,"700,000.00",2018,3,9,25,"San Marcos, Texas",30000,63
2020,Texas State,Jake Spavital,SunBelt,"800,000.00",2019,2,10,17,"San Marcos, Texas",30000,63
2015,Texas Tech,Kliff Kingsbury,Big12,"2,605,000.00",2014,4,8,33,"Lubbock, Texas",58930,65
2019,Texas Tech,Kliff Kingsbury,Big12,"3,703,975.00",2018,4,8,33,"Lubbock, Texas",58930,65
2017,Texas Tech,Kliff Kingsbury,Big12,"3,306,575.00",2016,5,7,42,"Lubbock, Texas",58930,65
2018,Texas Tech,Kliff Kingsbury,Big12,"3,503,975.00",2017,6,7,46,"Lubbock, Texas",58930,65
2016,Texas Tech,Kliff Kingsbury,Big12,"3,108,000.00",2015,7,6,54,"Lubbock, Texas",58930,65
2020,Texas Tech,Matt Wells,Big12,"3,000,000.00",2019,4,6,40,"Lubbock, Texas",58930,65
2019,Texas-El Paso,Dana Dimel,CUSA,"700,000.00",2018,1,11,8,"El Paso, Texas",52000,51
2020,Texas-El Paso,Dana Dimel,CUSA,"711,999.00",2019,3,5,38,"El Paso, Texas",52000,51
2018,Texas-El Paso,Sean Kugler,CUSA,"515,332.00",2017,0,12,0,"El Paso, Texas",52000,51
2017,Texas-El Paso,Sean Kugler,CUSA,"515,332.00",2016,4,8,33,"El Paso, Texas",52000,51
2016,Texas-El Paso,Sean Kugler,CUSA,"509,541.00",2015,5,7,42,"El Paso, Texas",52000,51
2015,Texas-El Paso,Sean Kugler,CUSA,"503,864.00",2014,7,6,54,"El Paso, Texas",52000,51
2019,Texas-San Antonio,Frank Wilson,CUSA,"1,100,000.00",2018,4,8,33,"San Antonio, Texas",65000,63
2017,Texas-San Antonio,Frank Wilson,CUSA,"835,000.00",2016,6,7,46,"San Antonio, Texas",65000,63
2018,Texas-San Antonio,Frank Wilson,CUSA,"1,137,500.00",2017,6,5,55,"San Antonio, Texas",65000,63
2020,Texas-San Antonio,Jeff Traylor,CUSA,"800,000.00",2019,7,5,58,"San Antonio, Texas",65000,63
2016,Texas-San Antonio,Larry Coker,CUSA,"425,000.00",2015,3,9,25,"San Antonio, Texas",65000,63
2015,Texas-San Antonio,Larry Coker,CUSA,"400,000.00",2014,4,8,33,"San Antonio, Texas",65000,63
2019,Toledo,Jason Candle,MAC,"1,125,000.00",2018,6,6,50,"Toledo, Ohio",26248,69
2020,Toledo,Jason Candle,MAC,"1,175,000.00",2019,4,2,67,"Toledo, Ohio",26248,69
2017,Toledo,Jason Candle,MAC,"675,000.00",2016,9,4,69,"Toledo, Ohio",26248,69
2018,Toledo,Jason Candle,MAC,"700,000.00",2017,11,3,79,"Toledo, Ohio",26248,69
2015,Toledo,Matt Campbell,MAC,"470,500.00",2014,9,4,69,"Toledo, Ohio",26248,69
2016,Toledo,Matt Campbell,MAC,"495,000.00",2015,10,2,83,"Toledo, Ohio",26248,69
2020,Troy,Chip Lindsey,SunBelt,"675,000.00",2019,5,6,45,"Troy, Alabama",30000,57
2015,Troy,Larry Blakeney,SunBelt,"518,788.00",2014,3,9,25,"Troy, Alabama",30000,57
2016,Troy,Neal Brown,SunBelt,"660,000.00",2015,4,8,33,"Troy, Alabama",30000,57
2019,Troy,Neal Brown,SunBelt,"810,000.00",2018,5,7,42,"Troy, Alabama",30000,57
2017,Troy,Neal Brown,SunBelt,"660,000.00",2016,10,3,77,"Troy, Alabama",30000,57
2018,Troy,Neal Brown,SunBelt,"800,000.00",2017,11,2,85,"Troy, Alabama",30000,57
2015,Tulane,Curtis Johnson,AAC,"867,000.00",2014,3,9,25,"New Orleans, Louisiana",30000,69
2016,Tulane,Curtis Johnson,AAC,"926,000.00",2015,3,9,25,"New Orleans, Louisiana",30000,69
2017,Tulane,Willie Fritz,AAC,"1,500,000.00",2016,4,8,33,"New Orleans, Louisiana",30000,69
2018,Tulane,Willie Fritz,AAC,"1,500,000.00",2017,5,7,42,"New Orleans, Louisiana",30000,69
2020,Tulane,Willie Fritz,AAC,"1,629,000.00",2019,6,6,50,"New Orleans, Louisiana",30000,69
2019,Tulane,Willie Fritz,AAC,"1,629,000.00",2018,7,6,54,"New Orleans, Louisiana",30000,69
2015,Tulsa,Bill Blankenship,AAC,"759,436.00",2014,2,10,17,"Tulsa, Oklahoma",35542,75
2018,Tulsa,Philip Montgomery,AAC,"1,398,038.00",2017,2,10,17,"Tulsa, Oklahoma",35542,75
2019,Tulsa,Philip Montgomery,AAC,"1,518,177.00",2018,4,8,33,"Tulsa, Oklahoma",35542,75
2016,Tulsa,Philip Montgomery,AAC,"1,689,000.00",2015,6,7,46,"Tulsa, Oklahoma",35542,75
2020,Tulsa,Philip Montgomery,AAC,"1,518,177.00",2019,6,3,67,"Tulsa, Oklahoma",35542,75
2017,Tulsa,Philip Montgomery,AAC,"1,518,177.00",2016,10,3,77,"Tulsa, Oklahoma",35542,75
2019,UCLA,Chip Kelly,Pac12,"3,300,000.00",2018,4,8,33,"Los Angeles, California",92542,66
2020,UCLA,Chip Kelly,Pac12,"4,300,000.00",2019,3,4,43,"Los Angeles, California",92542,66
2017,UCLA,Jim Mora,Pac12,"3,450,000.00",2016,4,8,33,"Los Angeles, California",92542,66
2018,UCLA,Jim Mora,Pac12,"3,550,000.00",2017,6,7,46,"Los Angeles, California",92542,66
2016,UCLA,Jim Mora,Pac12,"3,350,000.00",2015,8,5,62,"Los Angeles, California",92542,66
2015,UCLA,Jim Mora,Pac12,"3,250,000.00",2014,10,3,77,"Los Angeles, California",92542,66
2018,Utah,Kyle Whittingham,Pac12,"3,687,917.00",2017,7,6,54,"Salt Lake City, Utah",45017,67
2020,Utah,Kyle Whittingham,Pac12,"5,000,000.00",2019,3,2,60,"Salt Lake City, Utah",45017,67
2015,Utah,Kyle Whittingham,Pac12,"2,200,000.00",2014,9,4,69,"Salt Lake City, Utah",45017,67
2017,Utah,Kyle Whittingham,Pac12,"3,650,000.00",2016,9,4,69,"Salt Lake City, Utah",45017,67
2016,Utah,Kyle Whittingham,Pac12,"2,600,000.00",2015,10,3,77,"Salt Lake City, Utah",45017,67
2019,Utah,Kyle Whittingham,Pac12,"3,787,917.00",2018,11,3,79,"Salt Lake City, Utah",45017,67
2020,Utah State,Gary Andersen,MtWest,"900,000.00",2019,1,5,17,"Logan, Utah",30257,63
2017,Utah State,Matt Wells,MtWest,"800,000.00",2016,3,9,25,"Logan, Utah",30257,63
2016,Utah State,Matt Wells,MtWest,"750,000.00",2015,6,7,46,"Logan, Utah",30257,63
2018,Utah State,Matt Wells,MtWest,"1,050,000.00",2017,6,7,46,"Logan, Utah",30257,63
2019,Utah State,Matt Wells,MtWest,"900,000.00",2018,7,6,54,"Logan, Utah",30257,63
2015,Utah State,Matt Wells,MtWest,"575,000.00",2014,10,4,71,"Logan, Utah",30257,63
2020,Vanderbilt,Derek Mason,SEC,"3,400,000.00",2019,0,9,0,"Nashville, Tennessee",41448,84
2015,Vanderbilt,Derek Mason,SEC,"2,556,877.00",2014,3,9,25,"Nashville, Tennessee",41448,84
2019,Vanderbilt,Derek Mason,SEC,"2,812,523.00",2018,3,9,25,"Nashville, Tennessee",41448,84
2016,Vanderbilt,Derek Mason,SEC,"2,556,877.00",2015,4,8,33,"Nashville, Tennessee",41448,84
2018,Vanderbilt,Derek Mason,SEC,"2,721,834.00",2017,5,7,42,"Nashville, Tennessee",41448,84
2017,Vanderbilt,Derek Mason,SEC,"2,556,877.00",2016,6,7,46,"Nashville, Tennessee",41448,84
2017,Virginia,Bronco Mendenhall,ACC,"3,275,000.00",2016,2,10,17,"Charlottesville, Virginia",61500,72
2018,Virginia,Bronco Mendenhall,ACC,"3,400,000.00",2017,6,7,46,"Charlottesville, Virginia",61500,72
2020,Virginia,Bronco Mendenhall,ACC,"4,100,000.00",2019,5,5,50,"Charlottesville, Virginia",61500,72
2019,Virginia,Bronco Mendenhall,ACC,"3,550,000.00",2018,9,5,64,"Charlottesville, Virginia",61500,72
2016,Virginia,Mike London,ACC,"3,196,724.00",2015,4,8,33,"Charlottesville, Virginia",61500,72
2015,Virginia,Mike London,ACC,"2,298,413.00",2014,5,7,42,"Charlottesville, Virginia",61500,72
2015,Virginia Tech,Frank Beamer,ACC,"2,420,913.00",2014,7,6,54,"Blacksburg, Virginia",66233,78
2016,Virginia Tech,Frank Beamer,ACC,"2,535,925.00",2015,7,6,54,"Blacksburg, Virginia",66233,78
2020,Virginia Tech,Justin Fuente,ACC,"4,250,000.00",2019,5,6,45,"Blacksburg, Virginia",66233,78
2019,Virginia Tech,Justin Fuente,ACC,"4,000,000.00",2018,8,5,62,"Blacksburg, Virginia",66233,78
2018,Virginia Tech,Justin Fuente,ACC,"3,250,000.00",2017,9,4,69,"Blacksburg, Virginia",66233,78
2017,Virginia Tech,Justin Fuente,ACC,"3,200,000.00",2016,10,4,71,"Blacksburg, Virginia",66233,78
2015,Wake Forest,Dave Clawson,ACC,"2,113,166.00",2014,3,9,25,"Winston-Salem, North Carolina",31500,74
2016,Wake Forest,Dave Clawson,ACC,"1,827,370.00",2015,3,9,25,"Winston-Salem, North Carolina",31500,74
2020,Wake Forest,Dave Clawson,ACC,"1,831,580.00",2019,4,5,44,"Winston-Salem, North Carolina",31500,74
2017,Wake Forest,Dave Clawson,ACC,"2,113,166.00",2016,7,6,54,"Winston-Salem, North Carolina",31500,74
2018,Wake Forest,Dave Clawson,ACC,"1,827,370.00",2017,8,5,62,"Winston-Salem, North Carolina",31500,74
2019,Wake Forest,Dave Clawson,ACC,"1,831,580.00",2018,8,5,62,"Winston-Salem, North Carolina",31500,74
2016,Washington,Chris Petersen,Pac12,"3,400,000.00",2015,7,6,54,"Seattle, Washington",72500,66
2015,Washington,Chris Petersen,Pac12,"3,681,720.00",2014,8,6,57,"Seattle, Washington",72500,66
2019,Washington,Chris Petersen,Pac12,"4,375,000.00",2018,8,5,62,"Seattle, Washington",72500,66
2018,Washington,Chris Petersen,Pac12,"4,125,000.00",2017,10,3,77,"Seattle, Washington",72500,66
2017,Washington,Chris Petersen,Pac12,"3,600,000.00",2016,12,2,86,"Seattle, Washington",72500,66
2020,Washington,Jimmy Lake,Pac12,"3,000,000.00",2019,3,1,75,"Seattle, Washington",72500,66
